Transcript,Customer Statement,Sentiment,Call Outcome,label
transcript_157.txt,My doctors name is Dr. Smith and the facility is Springdale Hospital.,Neutral,Issue Resolved,1
transcript_114.txt,"Hi, Im calling to schedule an appointment with a specialist. My name is Emily Wilson and my member ID is MEM123456.",Neutral,Issue Resolved,1
transcript_121.txt,"Okay, thank you for your help.",Positive,Issue Resolved,2
transcript_150.txt,"Ah, great! Thank you for letting me know. Ill keep an eye out for that email.",Positive,Issue Resolved,2
transcript_25.txt,"Hi, Im calling about my recent visit to the doctors office. I was charged a copay of 50 for a service, but Im pretty sure my policy doesnt require a copay for that service.",Neutral,Issue Resolved,1
transcript_194.txt,"You too, thank you.",Positive,Issue Resolved,2
transcript_158.txt,"Alright, thank you so much for your help. I appreciate it.",Positive,Issue Resolved,2
transcript_162.txt,"Im not getting any error message, but when I try to register, it says my account already exists, and when I try to log in, it says my credentials are incorrect.",Negative,Follow-up Needed,0
transcript_160.txt,frustrated Thats ridiculous. I switched policies over two months ago. How long does it take to update the system?,Negative,Follow-up Needed,0
transcript_183.txt,You too.,Neutral,Follow-up Needed,1
transcript_118.txt,"Hi, Im having some trouble registering and logging in to my online service account. Can you help me?",Negative,Issue Resolved,0
transcript_121.txt,"My address is 123 Main Street, Anytown, USA 12345, and my phone number is 5555555555.",Neutral,Issue Resolved,1
transcript_193.txt,"My name is John Smith, and my date of birth is January 12, 1990.",Neutral,Issue Resolved,1
transcript_71.txt,"No, thats all. Thank you again for your help.",Positive,Issue Resolved,2
transcript_88.txt,"The date of service was January 10th, and the providers name is Dr. Smith.",Neutral,Issue Resolved,1
transcript_159.txt,"Okay, that sounds good. How long will it take to get a decision on the preauthorization?",Positive,Issue Resolved,2
transcript_38.txt,"Sure, Ill hold.",Positive,Issue Resolved,2
transcript_108.txt,"My date of birth is March 12, 1985, and my primary care physician is Dr. Smith.",Neutral,Follow-up Needed,1
transcript_9.txt,Thanks for your help. Ill call back if I need anything else.,Positive,Follow-up Needed,2
transcript_183.txt,Unbelievable. How could this happen? I specifically called to confirm the coverage before I switched policies.,Negative,Follow-up Needed,0
transcript_47.txt,"No, thats all. Thank you so much for your help!",Positive,Issue Resolved,2
transcript_10.txt,"That sounds great, thank you. Whats Dr. Smiths specialty within dermatology?",Positive,Issue Resolved,2
transcript_15.txt,"Thank you, bye.",Positive,Issue Resolved,2
transcript_119.txt,"Okay... pause Yeah, Im in now. But Im having trouble registering for the service. Its not accepting my registration information.",Negative,Follow-up Needed,0
transcript_66.txt,"Alright, Ill let my doctor know. How long will it take to get a decision after you receive the documents?",Neutral,Issue Resolved,1
transcript_32.txt,"Okay, fine. Ill send over the policy. But can you at least give me a timeline of when this will be resolved?",Neutral,Follow-up Needed,1
transcript_147.txt,"Great, thank you! Ill go check my email.",Positive,Issue Resolved,2
transcript_35.txt,"Okay, sounds good. Thank you for your help so far.",Positive,Issue Resolved,2
transcript_28.txt,Ive been experiencing some back pain and Id like to see an orthopedic specialist. I was hoping to get an appointment as soon as possible.,Negative,Issue Resolved,0
transcript_22.txt,"Hi, Im calling about a denied claim I received for a recent medical service. My member ID is MEM123456.",Neutral,Issue Resolved,1
transcript_28.txt,Ive been experiencing some back pain and Id like to see an orthopedic specialist. I was hoping to get an appointment as soon as possible.,Negative,Issue Resolved,0
transcript_89.txt,"You too, bye.",Neutral,Issue Resolved,1
transcript_170.txt,You too. Bye.,Neutral,Issue Resolved,1
transcript_56.txt,"Okay, thank you for your help.",Positive,Issue Resolved,2
transcript_177.txt,"Sure, thank you.",Positive,Issue Resolved,2
transcript_168.txt,"No, thats all. Thank you again.",Positive,Issue Resolved,2
transcript_193.txt,"Hi, Im calling about a denied claim I received. I dont understand why it was denied. My claim number is MEM123456.",Negative,Issue Resolved,0
transcript_99.txt,"Hi, Im calling to schedule an appointment with a specialist. My name is Emily Wilson and my member ID is MEM123456.",Neutral,Issue Resolved,1
transcript_178.txt,"Great, thank you so much for your help!",Positive,Issue Resolved,2
transcript_117.txt,Im looking for a cardiologist and I was thinking maybe next Wednesday or Thursday.,Neutral,Issue Resolved,1
transcript_147.txt,"Ah, okay. My security question is What is my favorite hobby? and my answer is reading.",Positive,Issue Resolved,2
transcript_193.txt,"You too, thank you.",Positive,Issue Resolved,2
transcript_51.txt,"That sounds wonderful, thank you so much for your help.",Positive,Issue Resolved,2
transcript_48.txt,My phone number is 5551234 and my email is emilywilsonemail.com.,Neutral,Issue Resolved,1
transcript_180.txt,"It just says invalid credentials when I try to log in. Ive tried resetting my password, but it still doesnt work.",Negative,Issue Resolved,0
transcript_124.txt,"That would be great, thank you.",Positive,Issue Resolved,2
transcript_129.txt,"Hi, Im having trouble registering and logging in to my online service account. Ive tried multiple times, but I keep getting an error message. My member ID is MEM123456.",Negative,Follow-up Needed,0
transcript_162.txt,"Hi, Im having trouble registering and logging in to my online service account. My member ID is MEM123456.",Negative,Follow-up Needed,0
transcript_85.txt,I was thinking maybe next Wednesday?,Neutral,Follow-up Needed,1
transcript_72.txt,"I was thinking maybe sometime next week? Im available Monday, Wednesday, or Friday.",Neutral,Issue Resolved,1
transcript_112.txt,The procedure code is XYZ123 and its scheduled for March 25th. My doctors name is Dr. Smith and his office is located at 123 Main St.,Neutral,Issue Resolved,1
transcript_91.txt,"Hi, Im calling to schedule an appointment with a specialist. My name is Emily Wilson and my member ID is MEM123456.",Neutral,Issue Resolved,1
transcript_29.txt,"Hello, Im calling about a denied claim I received for a recent medical service. I believe it was incorrectly denied as my new policy should cover it. My member ID is MEM123456.",Negative,Issue Resolved,0
transcript_141.txt,"Oh, I see. So, its just a mistake on your end?",Negative,Issue Resolved,0
transcript_147.txt,"My email address is jsmithexample.com and my password is... pauses, hesitant to share password ...well, Id rather not share it over the phone.",Negative,Issue Resolved,0
transcript_90.txt,"No, thats all. Thank you for your help.",Positive,Issue Resolved,2
transcript_155.txt,It just says invalid username or password but Im sure Im entering the correct information.,Neutral,Issue Resolved,1
transcript_57.txt,"It was on January 10th, and the doctors office was Smith Family Medicine.",Neutral,Issue Resolved,1
transcript_177.txt,"My date of birth is March 12, 1985, and Im scheduled for a knee replacement surgery on April 15th.",Neutral,Issue Resolved,1
transcript_32.txt,You too.,Neutral,Follow-up Needed,1
transcript_77.txt,"Hello, Im having trouble registering and logging in to my online service account. My member ID is MEM123456. Can you help me?",Negative,Follow-up Needed,0
transcript_116.txt,Its MEM456789.,Neutral,Issue Resolved,1
transcript_177.txt,"You too, thank you again. Bye.",Positive,Issue Resolved,2
transcript_54.txt,"Great, thank you so much! I appreciate your help.",Positive,Issue Resolved,2
transcript_67.txt,"Well, I go to the website and click on the login button, but it says my username and password are incorrect. Ive tried resetting my password, but it doesnt seem to be working.",Negative,Follow-up Needed,0
