Customer Statement,Sentiment_actual
"Hi, I'm calling about a claim that was denied. My member ID is MEM123456. I'm very frustrated because I was told that the policy doesn't cover the service, but I recently switched policies and the new one should cover it.",Negative
"Well, I've tried registering multiple times, but it keeps saying that my email is already in use. But when I try to log in, it says that my password is incorrect.",Neutral
(sighs) Okay...,Neutral
"Hi, I'm calling about my recent doctor's visit. I was charged a $50 copay, but I'm pretty sure my policy says I shouldn't have to pay anything for that service.",Negative
(frustrated) That's ridiculous. I switched policies over two months ago. How long does it take to update the system?,Negative
"Yes, that sounds good. Thank you for your help.",Positive
That's great news! Thank you so much for your help. I really appreciate it.,Positive
Bye!,Positive
"Well, I'm trying to register and log in, but it keeps saying my credentials are incorrect. I've tried resetting my password, but it's still not working.",Negative
"No, that's all. Thank you again for your help.",Negative
"Hi, I'm having trouble registering and logging in to my online service account. My member ID is MEM456789.",Negative
"You too, thank you.",Positive
"No, that's all. Thank you.",Negative
"Okay, I understand. But can you at least give me a case number or something so I can reference this when I follow up?",Neutral
My doctor's name is Dr. Smith and the facility is Mercy Hospital.,Positive
"Hi, I'm calling about my recent copay for a doctor's visit. I was charged $50, but I thought it was supposed to be $20 or maybe even free. Can you help me figure out what's going on?",Negative
"No, that's all. Thank you.",Negative
"Hi, I'm calling about a denied claim I received for a recent service. My name is Emily Wilson and my member ID is MEM123456.",Negative
I was thinking sometime next week. Do you have any availability on Wednesday or Thursday?,Negative
"(pauses) Okay, I'm logged in now. But this is really frustrating. I shouldn't have had to call technical support just to log in to my account.",Negative
"Sure, I'll hold.",Neutral
That's helpful. I think I'd like to schedule an appointment with Dr. Johnson on Thursday at 10 AM.,Neutral
"Hi, I'm calling about a denied claim I received for a recent medical service. My name is Emily Wilson and my member ID is MEM123456.",Negative
"Yes, that's exactly what I'm doing. It's MEM123456.",Positive
"Hi, I'm calling because I'm having trouble logging in to my online service account. My member ID is MEM123456.",Negative
"No, that's all. Thank you for your help!",Negative
"Sure, thank you.",Positive
"That sounds great, thank you! How long will it take for the refund to be processed?",Positive
"Okay, I've done that. But I'm still having the same issue.",Neutral
"Hi, I'm calling about my recent bill for a doctor's visit. I was charged a $50 copay, but I'm pretty sure my policy says I only have to pay $20 for that service.",Negative
"Alright, I'll let my doctor know. How long will it take to get a decision after you receive the documents?",Neutral
It's MEM123456.,Neutral
"Yes, of course. I had a procedure done last month, and when I submitted the claim, it was denied because the policy doesn't cover the service. However, I had switched to a new policy before the procedure, and I'm certain the new policy covers this service.",Neutral
"Hi, I'm having some trouble registering and logging in to my online service account. My member ID is MEM123456.",Negative
"Thanks, bye.",Positive
"Hi, I'm calling about my recent visit to the doctor's office. I was charged a copay of $50, but I thought my policy had a $20 copay for that service.",Negative
"It's August 12, 1985.",Negative
"No, that's all. Thank you again.",Negative
"Okay, I've tried that before, but it doesn't work. It says my email address isn't associated with an account.",Neutral
"Yes, please do that.",Neutral
"My name is Emily Wilson, and my date of birth is March 12, 1985.",Positive
"I've already tried that, but it's not working. It says that my email address is not recognized.",Negative
It's MEM123456.,Neutral
"Okay, how long will that take?",Neutral
"Okay, I'll hold.",Neutral
"You too, bye.",Positive
"Great, thank you so much! What's the pre-authorization number?",Positive
"No, that's all.",Negative
Thank you.,Positive
"No, that's all for now. Thank you.",Positive
"No, I think that's all. Thanks again for your help.",Negative
"The visit was on January 10th, and the provider's name is Dr. Smith.",Negative
"I see. So, will I still need to get pre-authorized?",Neutral
"Great, thank you again for your help!",Positive
I'm looking for a dermatologist. I'd like to schedule it for next Wednesday or Thursday. I'm available anytime between 9 am and 3 pm.,Positive
How do I check that?,Negative
Sounds good.,Positive
Thank you again. I'll wait to hear back from the claims team.,Positive
"It just says ""Invalid username or password"" every time I try to log in. I've tried resetting my password multiple times, but it doesn't seem to be working.",Negative
That's correct. I switched policies in January. I don't understand why the new policy isn't reflected in your system.,Neutral
"Hi, I'm calling about my recent bill for a doctor's visit. I was charged a copay of $50, but my policy says I shouldn't have to pay anything for this type of service.",Negative
"Thanks, you too.",Positive
"Oh, I see. Can you fix that and reprocess my claim?",Negative
"No, that's all.",Negative
"Alright, that sounds great. Thank you for your help.",Positive
"Sure, no problem.",Positive
"Yes, of course. The date of service was January 10th, and the reason for denial was that the policy does not cover the service. But I had switched my policy in December, and as per my new policy, the affected services should be covered.",Neutral
"(pause) No, I haven't received the email.",Negative
That's frustrating. Can you tell me how much the deductible is and how much the procedure will cost?,Negative
My plan type is the Gold Plan and the surgery will be performed at Mercy Hospital.,Positive
"Oh, that makes sense. I did try logging in a few times before I called.",Neutral
Okay... thank you. I appreciate your help.,Neutral
"Thank you, you too.",Positive
"Well, when I try to register, it says my email address is already in use, but I've never registered before. And when I try to log in, it says my password is incorrect, but I'm sure I'm entering the right one.",Neutral
"You too, thank you.",Positive
"It's March 12, 1985.",Positive
Sounds good. How long will that take?,Positive
"It was on February 10th, and the doctor's name is Dr. Smith.",Negative
I'm using Google Chrome. (00:40),Positive
That sounds great. Can you tell me a bit about Dr. Johnson?,Positive
"Well, when I try to register, it says that my email address is already in use. But I'm sure I've never registered before.",Neutral
Sounds good. Thanks again.,Positive
"Alright, thank you so much for your help. I appreciate it.",Positive
"It's March 12, 1985.",Positive
"No, that's all for now. Thank you.",Positive
"Okay, thank you.",Neutral
"Yes, the service was on January 10th, and the denial reason is ""policy does not cover the service"". But like I said, I've switched to a new policy that started on January 1st, and I'm sure this service is covered under the new policy.",Negative
"Hi, I'm calling about issues I'm having with registering and logging in to my online service account. My member ID is MEM123456.",Negative
"(pause) Yes, I'm in! Thank you so much for your help.",Positive
"Okay, thank you.",Neutral
"That sounds great, thank you! But how long will it take to get this resolved?",Positive
"Yes, that's correct. I switched policies a few months ago. As per my new policy, the services I claimed should be covered.",Neutral
"No, that's all. Thank you for your help.",Negative
My member ID is MEM123456.,Positive
"My date of birth is March 12, 1985, and my contact number is 555-1234.",Positive
"Okay, that's what I expected. Can you tell me how much the deductible is and how much I'll be responsible for paying out of pocket?",Neutral
"My date of birth is March 12, 1985, and my primary care physician is Dr. Smith.",Positive
"Hi, I need to schedule an appointment with a specialist. My member ID is MEM123456.",Neutral
"My doctor's name is Dr. Smith, and the surgery will be at Oakwood Hospital.",Positive
That's wonderful news! Thank you so much for your help and for resolving this issue.,Positive
That sounds perfect. Go ahead and schedule the appointment for Wednesday at 2 PM.,Positive
"No, that's all. Thank you for your help!",Negative
"When I try to log in, it says my username and password are incorrect. I've tried resetting my password, but it doesn't seem to work.",Negative
That explains a lot. What can be done to rectify this situation?,Positive
"The date of service was January 10th, and the provider's name is Dr. Smith.",Negative
"I've already tried that. I've reset my password multiple times, but I still can't log in. And now I'm getting a message that says my account is locked.",Negative
"No, that's all. Thank you so much for your help!",Positive
"It was on February 10th, and it was a routine check-up.",Negative
Sure.,Positive
Thank you for the follow-up. I appreciate it.,Positive
"Great, thanks for that.",Positive
"Will do, thank you.",Positive
"No, that's all. Thank you again.",Negative
"That doesn't make sense. I did switch policies, and I should have received the new policy documents by now.",Negative
Thank you. Bye.,Positive
"Yeah, that's fine. Thank you for your help so far.",Positive
"Yes, that works! Thank you so much for your help. I really appreciate it.",Positive
It's johndoe@email.com.,Positive
"Okay, that sounds good. Thank you again for your help in resolving this issue.",Neutral
"It's 123 Main Street, Anytown, PA 12345.",Neutral
"My address is 123 Main St, Anytown, USA 12345.",Positive
"Okay, that sounds good. Thank you.",Neutral
I've been having some issues with my knee and I'm looking to see an orthopedic specialist.,Neutral
"Okay, that makes sense. But I'm still not sure why I wasn't informed about the higher copay before the visit.",Neutral
"No, that's all. Thank you again for your help.",Negative
"The procedure code is 12345 and the date of service is scheduled for next Wednesday, March 22nd.",Negative
That makes sense. I did switch policies recently. Can you please update the system and reprocess the claim?,Neutral
"Okay, that's fine. Thank you.",Neutral
"Okay, that sounds good. Can you give me an estimated timeframe for when this will be resolved?",Neutral
"That's the thing - I recently switched to a new policy, and I'm certain that this service is covered under the new policy.",Neutral
(frustrated) That's ridiculous. I've only tried logging in a few times. And now you're telling me my account is locked?,Negative
"Hi, I'm calling about my recent bill for a doctor's visit. I was charged a copay of $50, but I thought my policy waived copays for primary care visits.",Negative
"Okay, I'll try that. (pause) Okay, I've tried resetting my password, but it's still not working.",Neutral
"I've already tried that, but it says my email address is not recognized.",Negative
"Okay, thank you for your help in resolving this.",Neutral
"Sure, go ahead.",Positive
"Yeah, either one is fine. But I was really hoping to get in sooner. Can't you check if there are any earlier appointments available?",Neutral
"My doctor's name is Dr. Smith, and the surgery will be at Oakwood Hospital.",Positive
"You too, bye!",Positive
"Hi, I'm calling to get a case pre-authorized for a surgery I need. My name is Emily Wilson and my member ID is MEM123456.",Negative
"I had switched my policy a few months ago, and according to the new policy, the service I received should be covered. I'm not sure why it was denied.",Neutral
I need to see a cardiologist. I've been experiencing some chest pain and I'd like to get it checked out.,Neutral
"Sure, thank you.",Positive
"Okay, I'll try that. But what if my account is locked out? How do I unlock it?",Neutral
Sounds great. Thank you again.,Positive
It's MEM123456.,Neutral
"Yes, my phone number is 555-1234, and my insurance is Blue Cross Blue Shield.",Negative
"Hi, I'm calling to request a pre-authorization for a medical procedure. My name is Emily Wilson and my member ID is MEM123456.",Negative
This is ridiculous. I know I wasn't supposed to pay that much. Can I speak to a supervisor?,Negative
"It just says ""Invalid username or password"" but I'm pretty sure I'm entering the correct information.",Neutral
"Yeah, I'm logged in now. Thank you so much for your help!",Positive
"That's great, thank you so much for your help!",Positive
"Okay, thank you. I appreciate your help.",Neutral
"(frustrated) Look, can you just tell me who's available next Monday and let me decide?",Negative
"You too, thank you!",Positive
"(frustrated) Look, can you just tell me who's available next Monday and let me decide?",Negative
Sounds good. Thanks again.,Positive
(on hold for 2 minutes),Negative
(hangs up),Negative
"Okay, that sounds good. Can you also confirm the corrected copay amount will be reflected in my account?",Neutral
"That's what I thought. So, what can be done about the charge I already paid?",Neutral
"Okay, thank you. Is there anything else I need to do in the meantime?",Neutral
"It was on January 10th, and it was for a physical therapy session.",Negative
"Sure, no problem.",Positive
"My email address is john.doe@example.com and my date of birth is March 12, 1980.",Positive
"Okay, what's the new password?",Neutral
"Hi, I'm calling to get a case pre-authorized. My name is Emily Wilson, and my member ID is MEM456789.",Negative
"Alright, that sounds great. Thank you so much for your help in resolving this issue.",Positive
"Sounds good, thank you.",Positive
Okay.,Neutral
"You too, thank you. Bye.",Positive
It says that my account is pending approval.,Negative
"I need to get an MRI done for my knee injury. My doctor's office is going to send over the request, but I wanted to call ahead to get it pre-authorized.",Negative
"My date of birth is March 12, 1985, and my primary care physician is Dr. Smith.",Positive
"Okay, that sounds good. How long will that take?",Neutral
It was a routine physical exam on January 10th.,Negative
"Hi, I'm having some trouble registering and logging in to my online service account. My member ID is MEM123456.",Negative
"Okay, great. Thank you so much for your help. I really appreciate it.",Positive
"Hi, I'm calling about a denied claim I received for a recent service. My name is Emily Wilson, and my member ID is MEM123456.",Negative
(hung up),Positive
"Okay, that sounds good. Can you give me a reference number for this case so I can follow up if needed?",Neutral
"Hi, I'm calling about a concern I have with my recent medical bill. My name is Emily Wilson and my member ID is MEM123456. I was charged a $50 copay for a doctor's visit, but I thought my policy covered that service with a $20 copay. Can you help me figure out what happened?",Negative
"Okay, that sounds great. Thank you so much for your help so far!",Positive
"Great, thank you. I appreciate it.",Positive
"Great, thank you! I'll go check my email.",Positive
"I've been experiencing some back pain and I'd like to see an orthopedic specialist. I've heard great things about Dr. Smith, but I'm also open to other recommendations.",Neutral
I'm using Google Chrome.,Positive
"No, that's all. Thank you for your help.",Negative
"No, everything is still the same. (01:15)",Negative
"My name is John Smith, and my date of birth is January 12, 1990.",Positive
"Okay, that sounds reasonable. What's the next step in the process?",Neutral
"Sure, I'll hold.",Neutral
"No, that's all. Thank you.",Negative
"No, that's all. Thanks.",Negative
"(sighs) Fine. (pause) Okay, it's working now. But this has been a huge waste of my time.",Negative
"Yes, of course. The service was for a physical therapy session, and the reason given was that it's not covered under my policy.",Neutral
"Hi, I'm having some trouble registering and logging in to my online service account. My member ID is MEM456789.",Negative
"No, that's all. Thank you again.",Negative
Sure. I've been experiencing chronic knee pain for several years and my doctor has recommended a knee replacement surgery to alleviate the pain and improve my mobility.,Positive
"Sure, thank you.",Positive
I've never actually logged in successfully. This is my first time trying to register.,Negative
"You too, bye!",Positive
"I enrolled in 2018, and I have a silver plan.",Positive
"No, that's all.",Negative
"It just says ""Invalid username or password"" every time I try to log in. I've tried resetting my password multiple times, but it doesn't seem to be working.",Negative
"My date of birth is March 12, 1985, and I'm looking to get pre-authorization for a knee surgery.",Positive
That sounds great. Can you tell me a bit more about Dr. Smith and Dr. Johnson? What are their specialties within dermatology?,Positive
"Great, thank you. What's the next step? Should I just wait to hear back from you?",Positive
"I'm looking to see a dermatologist, and I was hoping to get in as soon as possible. Do you have any availability this week?",Neutral
"That makes sense, I guess. I did switch policies about a month ago. Is there anything that can be done to fix this?",Neutral
"My date of birth is March 12, 1985, and my primary care physician is Dr. Smith.",Positive
It's jsmith@email.com.,Positive
"No, I think that's all. Thank you again for your help.",Negative
"Alright, thank you.",Positive
"I've already tried that, but it didn't work. (00:30)",Negative
