Customer Statement,Sentiment_actual
"Hi, I'm calling to get a case pre-authorized. My name is Emily Wilson and my member ID is MEM456789.",Negative
"It's March 12, 1985.",Positive
"I'm scheduled to undergo an MRI scan for a knee injury. My doctor's office has already submitted the request, but I wanted to confirm the status and ensure that it's covered under my plan.",Neutral
"Sure, thank you.",Positive
My doctor's name is Dr. Smith and the facility is Oakwood Medical Center.,Positive
Okay.,Neutral
"Okay, what does that mean?",Neutral
"Okay, that sounds good. Can you give me a reference number for this case so I can follow up if needed?",Neutral
"Great, thank you for your help.",Positive
"No, that's all. Thank you.",Negative
"Hi, I'm calling about a denied claim I received for my recent medical service. I was told that my policy doesn't cover it, but I'm certain it should be covered under my new policy. My member ID is MEM123456.",Negative
"The claim number is CLM789012, and the date of service was February 10th.",Negative
"I switched policies on January 1st. I was told that the new policy would cover the service I received, but the denial letter says it's not covered.",Negative
That's frustrating. How can we get this resolved?,Negative
"No, that's all. Thank you for your help.",Negative
Thank you.,Positive
"Hi, I'm calling to schedule an appointment with a specialist. My name is Emily Wilson, and my member ID is MEM123456.",Neutral
"It's June 12th, 1985.",Positive
"I'm looking to see a dermatologist, and I was hoping to get in as soon as possible. Do you have any availability this week?",Neutral
"That sounds great, thank you. What's Dr. Smith's specialty within dermatology?",Positive
That sounds perfect. Go ahead and schedule the appointment for Wednesday at 2 PM.,Positive
"No, that's all. Thank you so much for your help!",Positive
"You too, thanks again!",Positive
"Sounds good, thanks again.",Positive
"No, I think that's all.",Negative
"You too, bye!",Positive
"Hi, I'm calling about a denied claim I received for a recent medical service. I believe it was denied in error.",Negative
"Hi, I'm calling to schedule an appointment with a specialist. My name is Emily Wilson and my member ID is MEM234567.",Neutral
"It's March 12, 1985.",Positive
I need to see a cardiologist. I'd like to schedule it for next Wednesday or Thursday.,Neutral
Can you tell me a bit more about both doctors?,Neutral
That sounds great. I think I'd like to schedule with Dr. Johnson at 2:00 PM.,Positive
"No, that's all. Thank you for your help.",Negative
Sounds good. Thanks again.,Positive
"Hi, I'm having trouble registering and logging in to my online service account. My member ID is MEM123456.",Negative
"Well, I'm trying to register for the first time, but it keeps saying that my member ID is invalid. I've double-checked that I've entered it correctly.",Neutral
"Yes, that's exactly what I'm doing. It's MEM123456.",Positive
"I haven't set up a password yet, I'm trying to register. But I've tried multiple times and it still says my member ID is invalid.",Negative
"Sure, I'll hold.",Neutral
"That's strange, I signed up a few days ago. Is there anything I can do to speed up the process?",Neutral
"Okay, thank you for trying to help. Can you please escalate the issue and get back to me?",Neutral
"Alright, thank you for your help. I'll keep an eye on my email.",Positive
"No, that's all for now. Thank you.",Positive
"Hi, I'm calling about a claim that was denied. The reason given was that my policy doesn't cover the service, but I'm certain it should be covered. My member ID is MEM123456.",Neutral
"Sure, it's CLM789012.",Neutral
"Yes, that's what the denial letter said. But I had switched my policy recently, and the new policy should cover this service.",Neutral
"So, my new policy does cover the service, but because it's not in the system, the claim was denied?",Neutral
"Okay, that sounds good. How long will that take?",Neutral
"Alright, thank you for looking into this. Can you give me a reference number for this issue so I can follow up?",Neutral
